Sex,Length,Diameter,Height,Whole_Weight,Older_12
NA,0.655,0.525,0.19,NA,0
NA,0.655,0.535,0.205,NA,1
F,NA,NA,0.19,1.4545,0
M,0.655,NA,0.175,1.3585,NA
F,0.66,0.495,0.21,1.548,0
F,0.66,0.515,0.17,1.337,0
F,0.665,0.53,0.18,1.491,0
F,NA,NA,0.225,1.5615,1
F,0.67,0.505,0.175,1.0145,0
M,0.675,0.545,0.185,1.7375,1
M,0.685,NA,0.205,1.7925,NA
F,0.695,0.565,0.19,1.7635,1
F,NA,0.545,NA,1.556,NA
NA,0.705,0.565,0.515,NA,0
M,0.705,NA,0.215,NA,1
NA,NA,0.57,NA,NA,1
F,NA,0.55,NA,1.614,NA
F,0.72,0.575,0.17,1.9335,1
M,0.72,0.575,0.215,NA,NA
NA,NA,NA,0.2,NA,NA
F,0.73,0.58,0.19,1.7375,1
F,NA,NA,0.205,2.1275,1
NA,NA,0.57,NA,NA,0
F,NA,NA,0.235,2.5085,1
NA,NA,0.65,NA,NA,1
I,0.14,0.105,0.035,0.014,0
I,0.23,0.165,0.06,0.0515,0
I,0.365,0.265,0.135,0.2215,0
I,0.365,0.255,0.08,0.1985,0
I,0.37,0.27,0.095,0.232,0
I,0.375,0.28,0.085,0.3155,0
I,0.385,NA,0.09,0.247,NA
I,0.395,0.295,0.09,0.3025,0
I,0.4,0.29,0.11,0.329,0
NA,0.4,0.3,0.09,NA,0
I,NA,0.31,NA,0.3425,NA
I,0.405,NA,0.09,NA,0
I,0.405,0.3,0.105,0.304,0
I,NA,0.32,NA,0.2905,NA
M,0.415,0.315,0.115,0.3895,0
I,0.425,0.34,0.105,0.389,0
I,0.43,0.34,0.105,0.4405,0
I,0.44,0.34,0.105,0.369,0
M,0.44,0.32,0.12,0.4565,0
I,0.44,NA,0.11,NA,0
M,0.45,0.335,0.125,0.4475,0
I,0.455,0.335,0.135,0.501,0
I,0.46,0.355,0.11,0.436,0
I,0.47,0.345,0.14,0.4615,0
NA,NA,NA,0.125,NA,NA
I,0.47,0.355,0.12,0.3685,0
M,0.475,0.37,0.125,0.649,0
I,0.475,0.365,0.115,0.459,0
F,0.475,0.365,0.115,0.566,0
I,NA,0.36,NA,0.542,NA
I,0.485,NA,0.12,NA,0
M,0.485,0.39,0.085,0.6435,0
M,0.485,0.37,0.13,0.526,0
F,NA,0.38,NA,0.573,NA
M,0.505,0.385,0.105,0.5525,0
F,0.505,NA,0.135,0.6855,NA
NA,NA,NA,0.125,NA,NA
NA,NA,0.425,NA,NA,0
I,0.515,0.4,0.125,0.5625,0
M,0.52,NA,0.125,NA,0
M,0.525,0.4,0.14,0.7205,0
NA,0.53,0.43,0.13,NA,0
NA,0.53,0.4,0.125,NA,0
F,0.545,0.41,0.14,0.7405,0
NA,NA,NA,0.14,NA,NA
M,0.55,0.425,0.16,0.793,0
F,0.56,NA,0.15,NA,0
F,0.56,0.435,0.15,0.8715,0
NA,0.57,0.445,0.15,NA,0
M,0.575,0.465,0.15,1.08,0
M,0.575,0.46,0.165,0.9155,0
F,0.58,0.46,0.175,1.165,0
NA,NA,NA,0.14,NA,NA
M,0.585,0.455,0.15,0.906,0
M,0.59,0.44,0.15,NA,NA
F,0.59,0.465,0.15,1.151,0
F,0.59,0.46,0.145,0.9905,0
F,0.595,NA,0.16,NA,0
M,0.6,NA,0.155,NA,0
M,0.6,NA,0.2,NA,0
NA,NA,0.485,NA,NA,1
NA,NA,NA,0.16,NA,NA
NA,NA,NA,0.17,NA,NA
NA,NA,0.485,NA,NA,1
I,0.615,0.475,0.13,0.8425,0
M,0.62,0.485,0.155,1.049,0
NA,NA,NA,0.155,NA,NA
M,0.62,NA,0.165,1.0725,NA
NA,NA,NA,0.175,NA,NA
M,0.625,NA,0.18,NA,1
NA,NA,NA,0.145,NA,NA
F,0.63,0.5,0.175,1.1105,0
M,0.63,0.455,0.15,1.1315,0
NA,0.63,0.48,0.15,NA,1
NA,0.63,0.49,0.225,NA,0
F,0.635,0.505,0.145,1.1345,0
NA,0.635,0.51,0.185,NA,0
F,0.64,0.515,0.205,NA,NA
F,NA,0.515,NA,1.546,NA
NA,NA,0.51,NA,NA,1
NA,NA,0.505,NA,NA,1
F,0.65,0.545,0.175,1.5245,0
M,NA,NA,0.175,1.466,0
NA,0.65,0.5,0.16,NA,0
M,NA,NA,0.14,1.175,0
NA,NA,0.54,NA,NA,1
M,NA,NA,0.215,1.7835,1
M,NA,NA,0.165,1.374,0
F,0.665,NA,0.18,1.389,NA
M,0.67,NA,0.2,1.7025,NA
NA,NA,0.51,NA,NA,0
NA,NA,0.5,NA,NA,0
F,0.68,0.5,0.185,NA,NA
M,0.68,NA,0.17,1.6115,NA
M,NA,NA,0.2,1.7825,1
NA,NA,0.55,NA,NA,1
NA,0.7,0.555,0.2,NA,1
M,NA,0.56,NA,1.675,NA
M,NA,NA,0.2,2.1055,1
NA,0.725,0.575,0.24,NA,1
M,NA,NA,0.18,1.8725,0
NA,NA,NA,0.18,NA,NA
I,0.21,0.17,0.045,0.0475,0
I,0.285,0.21,0.055,0.101,0
I,0.295,0.215,0.07,0.121,0
I,NA,NA,0.085,0.117,0
I,0.305,0.225,0.09,0.1465,0
I,0.335,0.255,0.08,0.168,0
I,0.35,0.26,0.075,0.18,0
I,0.355,0.27,0.075,0.1775,0
I,0.355,0.26,0.09,0.1985,0
I,0.36,0.27,0.095,0.2,0
I,0.36,0.275,0.075,0.2205,0
NA,NA,0.265,NA,NA,0
I,0.365,0.27,0.085,0.2225,0
I,0.37,0.27,0.095,0.2175,0
I,0.375,0.28,0.08,0.2165,0
I,0.38,0.285,0.095,0.243,0
I,0.38,0.29,0.1,0.237,0
I,0.385,0.29,0.09,0.2365,0
I,0.385,0.28,0.095,NA,NA
I,0.385,0.3,0.09,0.308,0
I,0.39,0.3,0.09,0.252,0
I,0.39,0.285,0.1,0.281,0
I,0.39,0.29,0.1,0.2225,0
I,0.41,0.3,0.09,0.304,0
I,0.41,0.3,0.09,NA,NA
I,0.415,0.325,0.1,0.313,0
I,0.425,0.325,0.11,0.317,0
I,0.425,0.315,0.08,0.303,0
I,0.435,0.335,0.1,0.3295,0
I,0.435,0.325,0.11,0.367,0
I,0.45,0.34,0.095,0.3245,0
I,0.45,0.335,0.11,0.4195,0
I,0.455,0.36,0.115,0.457,0
NA,0.46,0.35,0.11,NA,0
I,0.46,0.355,0.11,0.4255,0
I,0.465,0.37,0.12,0.4365,0
NA,NA,0.345,NA,NA,0
I,0.47,0.355,0.125,0.499,0
I,0.475,0.36,0.145,NA,NA
M,0.475,0.36,0.1,0.4285,0
I,0.475,0.36,0.125,0.4905,0
I,0.48,0.37,0.125,0.474,0
NA,NA,NA,0.12,NA,NA
NA,NA,0.355,NA,NA,0
NA,0.485,0.375,0.13,NA,0
I,0.49,0.375,0.115,0.4615,0
NA,NA,NA,0.135,NA,NA
I,0.495,0.37,0.125,0.4715,0
I,0.495,NA,0.105,NA,0
I,0.5,NA,0.12,NA,0
I,0.5,0.39,0.12,0.5955,0
I,0.5,NA,0.14,NA,0
I,0.51,0.395,0.13,0.6025,0
F,0.515,0.375,0.11,0.6065,0
I,0.515,0.36,0.125,NA,NA
I,0.515,0.35,0.105,0.4745,0
I,0.515,0.395,0.125,0.6635,0
I,0.515,0.39,0.125,0.5705,0
I,0.52,0.41,0.145,0.646,0
I,0.52,0.39,0.13,0.5545,0
M,0.525,NA,0.145,0.845,NA
I,0.525,0.39,0.12,0.664,0
I,0.525,0.38,0.135,0.615,0
I,0.525,0.4,0.14,0.654,0
M,0.525,0.4,0.155,0.707,0
I,0.53,0.42,0.12,0.5965,0
I,0.53,0.43,0.135,NA,NA
I,0.53,NA,0.145,0.555,NA
I,0.53,0.42,0.13,0.8365,1
I,0.535,0.4,0.13,0.657,0
I,0.54,NA,0.17,NA,0
NA,NA,NA,0.14,NA,NA
I,NA,NA,0.14,0.8195,0
M,NA,NA,0.14,0.972,0
I,NA,0.42,NA,0.6275,NA
NA,NA,0.425,NA,NA,0
I,NA,NA,0.135,0.686,0
NA,0.545,0.4,0.13,NA,0
I,0.545,0.375,0.12,0.543,0
I,0.545,0.42,0.125,0.717,0
M,0.55,NA,0.14,NA,0
I,0.55,0.425,0.15,0.639,0
I,0.55,0.42,0.135,0.816,1
NA,NA,NA,0.145,NA,NA
I,0.55,0.425,0.15,0.7665,0
I,0.555,0.395,0.13,0.5585,0
NA,NA,0.435,NA,NA,0
I,0.555,0.46,0.145,0.9005,1
I,NA,NA,0.15,0.8225,0
I,0.56,0.44,0.13,0.7235,0
M,0.56,0.425,0.135,0.849,0
I,0.565,0.42,0.155,0.743,0
F,0.565,0.44,0.15,0.863,0
M,0.565,0.44,0.125,0.802,0
NA,NA,0.43,NA,NA,0
F,0.57,0.45,0.135,0.7805,0
M,0.57,0.45,0.14,0.795,0
I,NA,0.435,NA,0.848,NA
NA,NA,0.43,NA,NA,0
I,NA,NA,0.155,0.867,0
I,0.57,0.445,0.145,0.7405,1
M,NA,NA,0.165,0.867,0
I,0.575,0.425,0.135,NA,NA
F,0.575,0.47,0.155,1.116,0
I,0.575,0.45,0.125,0.78,0
M,NA,NA,0.185,0.985,0
F,0.575,0.465,0.195,0.9965,0
NA,0.575,0.445,0.17,NA,0
I,0.575,NA,0.135,0.807,NA
F,0.575,0.435,0.15,1.0305,0
M,NA,NA,0.16,0.839,0
M,0.575,NA,0.16,0.9615,NA
NA,0.58,0.435,0.15,NA,0
M,0.58,0.46,0.155,1.0335,0
M,NA,0.43,NA,0.798,NA
I,0.58,0.445,0.125,0.7095,0
F,0.585,0.445,0.14,0.913,0
M,NA,NA,0.165,1.207,0
I,0.59,NA,0.145,1.022,NA
NA,NA,0.46,NA,NA,1
F,0.595,0.435,0.15,0.9,0
NA,NA,0.45,NA,NA,0
M,0.595,0.45,0.145,0.959,0
I,0.595,0.46,0.15,0.8335,0
F,0.6,0.46,0.155,0.9735,0
F,0.6,0.475,0.15,1.13,0
M,0.6,NA,0.165,NA,0
I,0.6,0.48,0.17,0.9175,0
F,0.6,0.48,0.18,1.0645,0
M,0.6,0.47,0.165,1.059,0
M,0.6,0.47,0.16,1.194,0
NA,NA,NA,0.145,NA,NA
M,0.605,0.475,0.145,0.884,0
I,0.605,NA,0.145,0.8025,NA
F,0.605,0.48,0.14,0.991,0
F,0.605,0.47,0.155,0.974,0
F,0.605,0.505,0.18,1.434,1
M,0.61,0.475,0.155,0.983,0
F,NA,NA,0.16,1.0725,0
NA,NA,0.485,NA,NA,1
M,NA,NA,0.16,1.022,0
F,0.61,0.475,0.16,NA,NA
I,0.61,NA,0.125,NA,0
M,0.61,0.47,0.17,1.1185,0
F,0.61,0.485,0.18,1.2795,0
M,0.615,0.47,0.16,1.0175,0
M,NA,0.475,NA,1.224,NA
I,0.62,0.485,0.18,1.154,1
F,NA,0.515,NA,1.3255,NA
NA,NA,0.515,NA,NA,1
NA,0.62,0.54,0.165,NA,1
I,0.62,0.49,0.16,1.066,1
F,0.62,0.48,0.18,1.2215,1
I,0.62,NA,0.14,NA,0
NA,0.62,0.45,0.135,NA,0
M,0.62,0.48,0.15,NA,NA
NA,0.62,0.48,0.175,NA,0
M,0.625,0.49,0.165,1.1165,1
M,NA,0.475,NA,1.0845,NA
M,0.625,0.5,0.17,1.0985,0
I,0.625,0.47,0.155,NA,NA
F,0.625,0.485,0.175,1.362,0
NA,NA,0.485,NA,NA,0
M,0.63,0.505,0.17,1.0915,0
F,0.63,0.5,0.18,NA,NA
M,0.63,0.49,0.17,NA,NA
NA,0.63,0.485,0.165,NA,0
M,0.63,NA,0.175,1.2695,NA
NA,0.635,0.5,0.165,NA,1
M,NA,NA,0.17,1.4345,1
F,NA,NA,0.175,1.2435,0
F,0.635,0.49,0.17,1.2615,0
F,0.64,0.505,0.165,1.2235,0
M,0.64,NA,0.18,NA,0
M,NA,0.525,NA,1.707,NA
M,NA,0.505,NA,1.1605,NA
M,0.645,NA,0.175,NA,1
M,NA,NA,0.19,1.5595,1
M,NA,NA,0.19,1.4745,0
NA,0.645,0.51,0.195,NA,0
M,0.645,0.51,0.16,NA,NA
F,NA,0.51,NA,1.2415,NA
M,NA,0.5,NA,1.3375,NA
NA,0.645,0.51,0.19,NA,0
M,0.645,NA,0.15,NA,0
F,NA,0.48,NA,1.371,NA
F,0.65,0.495,0.155,1.337,0
M,NA,NA,0.19,1.274,1
NA,0.65,0.525,0.185,NA,1
NA,NA,0.51,NA,NA,0
M,0.655,0.55,0.18,1.274,0
NA,0.655,0.51,0.15,NA,0
F,0.655,NA,0.19,NA,1
F,0.655,NA,0.195,NA,1
M,0.66,0.5,0.165,1.3195,0
NA,NA,0.535,NA,NA,1
NA,NA,0.53,NA,NA,0
M,0.66,0.51,0.165,NA,NA
M,0.665,0.525,0.175,1.443,1
M,0.665,NA,0.16,1.289,NA
NA,NA,NA,0.16,NA,NA
NA,NA,0.52,NA,NA,1
M,NA,0.5,NA,1.2975,NA
M,NA,NA,0.16,1.2585,1
M,NA,NA,0.165,1.39,1
NA,NA,0.52,NA,NA,1
F,0.67,NA,0.155,1.566,NA
F,0.67,NA,0.195,NA,1
NA,NA,0.525,NA,NA,1
F,0.675,0.51,0.195,NA,NA
NA,0.68,0.52,0.195,NA,0
NA,NA,NA,0.2,NA,NA
NA,0.685,0.52,0.15,NA,1
F,0.685,0.565,0.175,1.638,1
NA,NA,NA,0.2,NA,NA
M,0.7,NA,0.175,1.8565,NA
NA,0.7,0.535,0.175,NA,1
F,0.705,0.545,0.17,1.58,1
M,NA,NA,0.215,2.009,1
F,0.71,0.57,0.195,1.9805,1
F,0.71,NA,0.205,1.5805,NA
M,NA,0.56,NA,2.015,NA
M,0.72,0.57,0.2,NA,NA
M,NA,NA,0.205,2.125,1
NA,NA,0.525,NA,NA,0
F,NA,0.565,NA,2.1425,NA
F,0.73,0.56,0.19,1.9425,1
NA,NA,NA,0.215,NA,NA
NA,0.74,0.565,0.205,NA,1
F,0.75,0.565,0.215,1.938,1
M,0.75,0.595,0.205,2.2205,1
NA,NA,NA,0.195,NA,NA
M,NA,NA,0.25,2.7795,1
I,0.275,0.175,0.09,0.2315,0
I,0.375,0.245,0.1,0.394,0
NA,NA,NA,0.135,NA,NA
M,0.39,NA,0.125,NA,0
I,0.435,0.3,0.12,0.5965,0
M,0.445,0.32,0.12,0.414,0
NA,0.455,0.335,0.105,NA,0
I,0.455,0.325,0.135,0.82,0
I,0.455,0.345,0.11,0.434,0
NA,NA,NA,0.14,NA,NA
M,0.465,0.36,0.115,0.5795,0
I,0.485,0.365,0.105,0.5205,0
NA,NA,NA,0.155,NA,NA
NA,NA,0.345,NA,NA,0
F,0.49,0.355,0.16,0.8795,0
M,0.5,0.37,0.15,1.0615,0
M,0.515,0.35,0.155,0.9225,0
M,0.515,0.395,0.135,1.007,0
NA,NA,NA,0.17,NA,NA
M,0.525,0.38,0.125,0.65,0
M,0.53,0.41,0.14,0.7545,0
F,0.535,0.425,0.135,0.771,0
I,0.535,0.385,0.18,1.0835,0
I,0.545,NA,0.165,NA,0
F,0.545,0.415,0.2,1.358,0
F,0.545,0.385,0.15,1.1185,0
NA,NA,NA,0.165,NA,NA
M,0.55,0.42,0.16,NA,NA
M,0.57,0.455,0.175,NA,NA
M,0.575,0.44,0.185,1.025,0
I,NA,0.45,NA,0.8145,NA
F,NA,0.43,NA,1.48,NA
M,0.585,0.455,0.145,0.953,0
I,NA,NA,0.15,0.8915,0
NA,0.6,0.495,0.175,NA,1
M,0.6,0.465,0.165,NA,NA
M,0.605,0.475,0.175,1.2525,0
M,0.605,NA,0.15,1.15,NA
F,0.61,0.475,0.15,1.1135,1
F,0.615,0.455,0.145,1.1155,0
NA,0.62,0.47,0.145,NA,0
M,0.625,NA,0.175,NA,0
M,0.625,NA,0.185,NA,1
M,0.635,0.495,0.195,NA,NA
NA,NA,0.475,NA,NA,0
NA,NA,NA,0.14,NA,NA
M,0.645,0.5,0.16,1.3815,0
M,0.65,NA,0.19,1.6125,NA
M,0.65,NA,0.16,NA,0
F,0.655,0.52,0.2,1.5475,0
M,0.655,0.545,0.19,1.4245,0
F,NA,0.515,NA,1.3405,NA
NA,0.675,0.53,0.175,NA,0
NA,NA,NA,0.175,NA,NA
F,NA,0.55,NA,1.679,NA
NA,0.695,0.53,0.19,NA,1
F,NA,NA,0.18,1.5395,1
F,NA,0.55,NA,2.073,NA
M,NA,0.56,NA,1.5865,NA
M,NA,NA,0.21,2.069,1
I,0.185,0.135,0.04,0.027,0
I,0.24,0.18,0.055,0.0555,0
I,0.31,0.215,0.075,0.1275,0
I,0.34,0.26,0.085,0.1885,0
I,0.35,0.265,0.08,0.2,0
I,0.365,0.27,0.085,0.197,0
I,0.365,0.275,0.085,0.223,0
I,0.365,0.27,0.075,0.2215,0
I,NA,0.31,NA,0.2665,NA
I,0.405,0.3,0.09,0.269,0
I,0.41,0.315,0.095,0.2805,0
I,0.41,0.335,0.105,0.3305,0
NA,0.415,0.31,0.09,NA,0
I,0.415,0.31,0.1,0.2805,0
I,0.415,0.31,0.095,0.311,0
I,0.42,0.325,0.1,NA,NA
I,0.43,0.34,0.1,0.3405,0
I,0.435,0.335,0.1,0.3245,0
NA,0.435,0.33,0.11,NA,0
I,0.435,NA,0.105,NA,0
I,0.435,0.345,0.12,0.3215,0
I,0.445,0.33,0.11,NA,NA
I,0.465,0.37,0.11,0.445,0
NA,0.47,0.375,0.12,NA,0
I,0.475,0.34,0.105,NA,NA
I,0.485,0.385,0.13,NA,NA
I,0.485,0.36,0.12,0.5155,0
I,0.485,0.37,0.115,0.457,0
NA,NA,0.38,NA,NA,0
I,0.495,NA,0.145,0.5,NA
NA,NA,NA,0.14,NA,NA
I,0.5,NA,0.11,0.5605,NA
I,0.505,0.405,0.13,0.599,1
NA,NA,NA,0.145,NA,NA
F,0.51,0.4,0.12,0.7005,0
I,0.515,0.415,0.135,0.7125,0
I,0.515,0.42,0.15,0.6725,0
M,0.515,0.385,0.11,0.5785,0
I,0.52,0.41,0.11,0.5185,0
I,0.52,0.415,0.14,0.6375,0
I,0.52,0.395,0.125,NA,NA
I,0.52,0.38,0.115,0.6645,0
I,0.52,0.385,0.115,0.581,0
NA,0.525,0.415,0.12,NA,0
I,0.525,0.405,0.145,0.6965,0
I,0.525,0.4,0.145,0.6095,0
I,0.53,0.43,0.14,NA,NA
NA,0.53,0.43,0.16,NA,0
I,0.53,0.395,0.13,0.575,0
I,0.53,0.405,0.12,0.632,0
I,0.535,0.455,0.14,1.0015,0
F,0.54,0.425,0.16,0.9455,0
I,0.54,0.395,0.135,0.6555,0
I,0.54,0.39,0.125,0.6255,0
I,NA,NA,0.14,0.8145,0
I,0.545,0.43,0.14,0.687,0
I,NA,0.435,NA,0.7995,NA
I,0.55,0.45,0.13,0.804,0
M,0.555,0.435,0.14,0.7495,0
M,0.555,0.41,0.125,0.599,0
NA,0.555,0.4,0.13,NA,0
NA,NA,NA,0.175,NA,NA
M,NA,NA,0.135,0.837,0
NA,0.56,0.445,0.165,NA,0
F,0.565,0.445,0.125,0.8305,1
M,0.565,0.415,0.125,0.667,0
NA,NA,0.455,NA,NA,1
NA,NA,NA,0.145,NA,NA
M,0.565,0.45,0.16,0.895,0
I,0.565,0.46,0.155,0.8715,0
M,0.57,NA,0.155,NA,1
NA,NA,NA,0.155,NA,NA
M,NA,NA,0.175,0.9415,0
NA,NA,0.415,NA,NA,1
F,0.57,0.44,0.12,0.803,0
M,0.575,0.45,0.13,0.785,0
M,0.575,0.45,0.155,0.9765,0
M,0.575,NA,0.135,0.992,NA
NA,0.575,0.455,0.155,NA,1
M,0.575,0.445,0.145,NA,NA
F,0.575,0.465,0.175,1.099,0
NA,NA,0.45,NA,NA,0
I,0.575,0.45,0.135,0.8245,1
F,0.575,0.43,0.155,0.7955,0
NA,0.575,0.475,0.145,NA,0
F,0.58,0.45,0.195,0.8265,0
NA,NA,0.5,NA,NA,0
M,0.58,NA,0.15,NA,0
I,0.58,NA,0.145,0.7905,NA
M,0.58,NA,0.16,0.8295,NA
M,0.595,0.455,0.15,NA,NA
F,0.6,0.47,0.135,0.97,1
M,0.6,0.46,0.17,1.1805,1
M,0.6,0.475,0.15,NA,NA
F,0.6,NA,0.16,NA,1
I,0.605,0.49,0.165,NA,NA
F,0.605,0.455,0.145,0.862,0
NA,NA,NA,0.18,NA,NA
NA,NA,0.48,NA,NA,0
F,NA,NA,0.145,1.1185,0
F,0.61,0.46,0.155,0.957,0
F,0.61,0.47,0.165,1.1785,1
NA,0.615,0.47,0.145,NA,1
M,0.615,0.47,0.15,1.0875,0
NA,NA,0.495,NA,NA,1
NA,0.615,0.495,0.2,NA,0
M,0.62,0.49,0.16,1.035,1
M,0.62,0.49,0.15,NA,NA
F,0.62,0.495,0.17,1.062,1
M,NA,NA,0.195,1.5145,1
M,0.62,0.47,0.15,1.309,0
M,NA,0.485,NA,1.0295,NA
M,0.625,NA,0.155,1.0485,NA
M,NA,0.515,NA,1.331,NA
M,0.625,NA,0.185,NA,0
F,0.625,NA,0.16,NA,1
F,NA,NA,0.18,1.354,1
F,0.625,NA,0.145,NA,1
M,0.63,NA,0.155,1.2525,NA
NA,NA,0.485,NA,NA,1
F,NA,0.52,NA,1.3405,NA
F,0.635,0.505,0.155,1.2895,1
M,NA,NA,0.16,1.195,1
NA,NA,NA,0.165,NA,NA
M,0.635,0.515,0.165,1.229,0
M,0.64,NA,0.165,NA,1
F,0.64,0.48,0.145,1.1145,0
F,0.64,0.515,0.165,1.3115,0
I,0.64,0.49,0.135,1.1,0
NA,0.64,0.49,0.155,NA,0
NA,NA,NA,0.185,NA,NA
F,0.645,0.51,0.18,1.6195,1
M,0.645,0.49,0.175,1.32,1
F,0.645,0.52,0.21,1.5535,1
I,0.65,0.52,0.15,1.238,0
F,0.65,0.51,0.155,1.189,1
F,0.65,0.51,0.185,1.375,0
NA,NA,0.515,NA,NA,1
NA,0.655,0.525,0.175,NA,0
NA,NA,NA,0.17,NA,NA
F,0.66,0.535,0.205,1.4415,0
M,0.66,0.51,0.175,1.218,1
F,0.665,0.5,0.15,1.2475,0
M,0.665,NA,0.2,1.2695,NA
NA,NA,NA,0.18,NA,NA
F,0.67,NA,0.205,NA,1
NA,NA,0.515,NA,NA,1
F,0.675,0.51,0.185,1.473,1
M,0.68,NA,0.19,NA,1
M,NA,0.54,NA,1.534,NA
M,NA,NA,0.155,1.3845,0
M,0.69,0.55,0.18,NA,NA
M,0.695,NA,0.185,1.5715,NA
F,0.7,NA,0.205,NA,1
M,0.7,NA,0.175,1.4405,NA
M,0.7,NA,0.195,NA,1
F,0.705,0.535,0.22,NA,NA
F,0.72,0.575,0.18,NA,NA
NA,NA,0.565,NA,NA,1
F,0.725,0.57,0.205,1.6195,1
NA,0.75,0.55,0.195,NA,1
M,0.76,NA,0.215,NA,1
I,0.135,0.13,0.04,0.029,0
I,0.16,0.11,0.025,0.0195,0
I,0.21,0.15,0.055,0.0465,0
NA,NA,NA,0.075,NA,NA
I,0.28,0.2,0.065,0.0895,0
I,0.285,NA,0.06,NA,0
I,0.29,0.21,0.07,0.1115,0
I,0.29,0.21,0.06,0.1195,0
I,0.29,0.21,0.065,0.097,0
I,0.32,0.24,0.07,0.133,0
I,0.325,0.25,0.07,0.1745,0
I,0.335,0.25,0.08,0.1695,0
I,0.35,0.235,0.08,0.17,0
I,0.35,0.25,0.07,NA,NA
I,0.355,0.27,0.105,0.271,0
I,NA,0.27,NA,0.2185,NA
I,0.36,0.27,0.085,0.196,0
I,0.375,0.28,0.08,0.226,0
I,0.375,0.275,0.085,0.22,0
I,NA,NA,0.095,0.3,0
I,0.405,0.25,0.09,0.2875,0
I,0.415,0.325,0.11,0.316,0
I,0.425,0.315,0.095,0.3675,0
I,0.43,0.32,0.11,0.3675,0
NA,0.435,0.325,0.12,NA,0
M,0.45,0.33,0.105,0.4955,0
I,0.46,NA,0.11,0.4675,NA
NA,NA,NA,0.135,NA,NA
I,0.47,NA,0.105,0.441,NA
I,0.475,0.365,0.12,NA,NA
M,0.505,0.39,0.12,0.653,0
M,0.505,0.395,0.135,0.5915,1
M,NA,0.385,NA,0.4825,NA
I,NA,0.455,NA,0.6855,NA
M,0.515,0.4,0.14,0.6335,0
M,NA,NA,0.13,0.6875,0
F,0.53,0.43,0.15,0.741,0
F,0.53,NA,0.13,NA,0
M,0.545,0.44,0.14,0.8395,1
F,0.55,0.47,0.15,0.9205,0
F,0.56,0.41,0.16,NA,NA
NA,NA,0.445,NA,NA,0
NA,NA,0.435,NA,NA,0
M,0.58,0.46,0.16,1.063,0
M,0.59,0.465,0.165,NA,NA
F,0.6,0.45,0.14,0.837,0
M,0.605,0.445,0.14,0.982,1
M,0.61,0.49,0.16,1.112,0
F,NA,NA,0.18,1.3485,1
M,0.66,NA,0.195,1.5655,NA
I,0.255,0.19,0.06,0.086,0
I,0.27,NA,0.065,0.1065,NA
I,0.28,0.215,0.08,0.132,0
I,NA,0.215,NA,0.1075,NA
I,0.32,0.255,0.085,0.1745,0
I,0.325,0.24,0.07,0.152,0
I,0.385,0.28,0.1,0.2755,0
I,0.395,0.295,0.1,0.293,0
F,0.4,0.305,0.16,0.368,0
NA,NA,0.31,NA,NA,0
NA,NA,NA,0.12,NA,NA
I,0.42,0.315,0.115,0.355,0
I,0.44,0.305,0.115,0.379,0
I,0.445,NA,0.12,NA,0
M,0.45,0.35,0.13,NA,NA
F,0.455,NA,1.13,NA,0
NA,NA,NA,0.12,NA,NA
M,0.46,NA,0.11,NA,0
M,0.465,0.36,0.11,0.4955,0
I,0.465,0.355,0.09,0.4325,0
F,0.475,0.38,0.14,0.689,0
I,0.48,0.35,0.135,0.5465,0
M,NA,NA,0.135,0.617,0
I,0.49,0.37,0.11,0.538,0
M,0.5,0.39,0.135,0.7815,0
F,0.5,0.38,0.14,0.6355,0
M,NA,NA,0.13,0.6435,0
M,0.525,0.385,0.1,0.5115,0
M,0.535,NA,0.125,0.738,NA
F,NA,NA,0.13,0.699,0
F,0.54,0.385,0.14,0.7655,0
F,0.54,0.42,0.13,0.7505,0
F,0.545,0.43,0.16,0.844,0
NA,0.55,0.41,0.13,NA,0
I,0.55,0.42,0.115,0.668,1
F,0.565,0.44,0.135,0.83,0
M,0.58,NA,0.12,NA,0
F,0.58,0.435,0.15,NA,NA
F,0.585,0.485,0.15,1.079,1
NA,NA,0.465,NA,NA,0
F,NA,0.47,NA,1.1345,NA
NA,NA,0.43,NA,NA,0
NA,0.61,0.48,0.165,NA,0
F,0.62,0.49,0.16,1.056,0
M,0.645,0.495,0.15,1.2095,0
M,NA,0.5,NA,1.238,NA
F,0.665,NA,0.21,1.644,NA
M,0.685,0.55,0.2,1.7725,1
NA,NA,NA,0.195,NA,NA
F,NA,NA,0.185,1.761,0
NA,NA,0.5,NA,NA,0
M,NA,NA,0.22,1.914,1
F,0.72,0.575,0.215,2.1,1
NA,NA,NA,0.18,NA,NA
M,NA,NA,0.22,2.032,1
F,0.505,0.39,0.115,0.66,0
M,0.53,0.425,0.13,0.7455,0
F,0.505,0.385,0.115,0.616,1
I,0.405,0.305,0.09,0.2825,0
M,0.415,0.3,0.1,0.3355,0
M,0.5,0.39,0.145,0.651,1
M,0.425,0.33,0.08,0.361,0
M,0.47,0.35,0.1,0.4775,0
NA,0.4,0.31,0.115,NA,0
I,0.37,0.29,0.1,0.25,0
M,0.5,0.38,0.155,0.66,1
I,0.41,0.31,0.11,0.315,0
M,0.375,NA,0.1,NA,0
NA,NA,0.385,NA,NA,1
M,0.585,0.48,0.185,NA,NA
M,NA,0.455,NA,1.041,NA
F,0.675,NA,0.18,1.6885,NA
M,0.665,NA,0.225,NA,1
